route,airline,aircraft_model,cruise_speed_kmh
SIN-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
SIN-DXB,Emirates,BOEING 777-300ER (twin-jet),Unknown
SIN-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
SIN-DXB,Emirates,BOEING 777-300ER (twin-jet),Unknown
SIN-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
SIN-DXB,Emirates,BOEING 777-300ER (twin-jet),Unknown
SIN-DXB,Singapore Airlines,BOEING 787-10 Dreamliner (twin-jet),Unknown
SIN-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
SIN-DXB,Emirates,BOEING 777-300ER (twin-jet),Unknown
SIN-DXB,Singapore Airlines,Airbus A350-900 (twin-jet),Unknown
SIN-DXB,Air India,Airbus A321 (twin-jet),Unknown
SIN-DXB,Air India,Airbus A321 (twin-jet),Unknown
SIN-DXB,Singapore Airlines,Airbus A350-900 (twin-jet),Unknown
SIN-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
SIN-DXB,Qatar Airways,Airbus A350-900 (twin-jet),Unknown
SIN-DXB,Emirates,BOEING 777-300ER (twin-jet),Unknown
SIN-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
SIN-DXB,Thai Airways,Airbus A350-900 (twin-jet),Unknown
SIN-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
SIN-DXB,Singapore Airlines,Airbus A350-900 (twin-jet),Unknown
SIN-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
SIN-DXB,Emirates,BOEING 777-300ER (twin-jet),Unknown
SIN-DXB,Singapore Airlines,BOEING 787-10 Dreamliner (twin-jet),Unknown
SIN-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
SIN-DXB,Singapore Airlines,Boeing 737 MAX 8 (twin-jet),Unknown
SIN-DXB,Emirates,BOEING 777-300ER (twin-jet),Unknown
SIN-DXB,Thai Airways,Airbus A320 (twin-jet),Unknown
SIN-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
SIN-DXB,Singapore Airlines,BOEING 787-10 Dreamliner (twin-jet),Unknown
SIN-DXB,Singapore Airlines,Boeing 737 MAX 8 (twin-jet),Unknown
SIN-DXB,Thai Airways,Airbus A320 (twin-jet),Unknown
LHR-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
LHR-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
LHR-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
LHR-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
LHR-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
LHR-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
LHR-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
LHR-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
LHR-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
LHR-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
