route,airline,ident,aircraft_model,cruise_speed_kmh
SIN-DXB,Emirates,UAE353,Airbus A380-800 (quad-jet),Unknown
SIN-DXB,Emirates,UAE355,BOEING 777-300ER (twin-jet),Unknown
SIN-DXB,Emirates,UAE353,Airbus A380-800 (quad-jet),Unknown
SIN-DXB,Emirates,UAE355,BOEING 777-300ER (twin-jet),Unknown
SIN-DXB,Emirates,UAE353,Airbus A380-800 (quad-jet),Unknown
SIN-DXB,Emirates,UAE355,BOEING 777-300ER (twin-jet),Unknown
LHR-DXB,Emirates,UAE8,Airbus A380-800 (quad-jet),Unknown
LHR-DXB,Emirates,UAE6,Airbus A380-800 (quad-jet),Unknown
LHR-DXB,Emirates,UAE4,Airbus A380-800 (quad-jet),Unknown
LHR-DXB,Emirates,UAE30,Airbus A380-800 (quad-jet),Unknown
LHR-DXB,Emirates,UAE2,Airbus A380-800 (quad-jet),Unknown
LHR-DXB,Emirates,UAE8,Airbus A380-800 (quad-jet),Unknown
LHR-DXB,Emirates,UAE6,Airbus A380-800 (quad-jet),Unknown
LHR-DXB,Emirates,UAE6,Airbus A380-800 (quad-jet),Unknown
LHR-DXB,Emirates,UAE4,Airbus A380-800 (quad-jet),Unknown
LHR-DXB,Emirates,UAE30,Airbus A380-800 (quad-jet),Unknown
LHR-DXB,Emirates,UAE2,Airbus A380-800 (quad-jet),Unknown
LHR-DXB,Emirates,UAE8,Airbus A380-800 (quad-jet),Unknown
LHR-DXB,Emirates,UAE4,Airbus A380-800 (quad-jet),Unknown
LHR-DXB,Emirates,UAE30,Airbus A380-800 (quad-jet),Unknown
LHR-DXB,Emirates,UAE2,Airbus A380-800 (quad-jet),Unknown
BKK-DXB,Emirates,UAE375,Airbus A380-800 (quad-jet),Unknown
BKK-DXB,Emirates,UAE371,BOEING 777-300ER (twin-jet),Unknown
BKK-DXB,Emirates,UAE385,Airbus A380-800 (quad-jet),Unknown
BKK-DXB,Emirates,UAE373,Airbus A380-800 (quad-jet),Unknown
BKK-DXB,Emirates,UAE375,Airbus A380-800 (quad-jet),Unknown
BKK-DXB,Emirates,UAE371,BOEING 777-300ER (twin-jet),Unknown
BKK-DXB,Emirates,UAE385,Airbus A380-800 (quad-jet),Unknown
BKK-DXB,Emirates,UAE373,Airbus A380-800 (quad-jet),Unknown
BKK-DXB,Emirates,UAE375,Airbus A380-800 (quad-jet),Unknown
BKK-DXB,Emirates,UAE371,BOEING 777-300ER (twin-jet),Unknown
BKK-DXB,Emirates,UAE385,Airbus A380-800 (quad-jet),Unknown
