airline,route,ident,aircraft,fluctuation_pct,extra_fuel,extra_crew,baseline_air_time,baseline_fuel_cost,baseline_crew_cost,actual_air_time,current_fuel_cost,current_crew_cost,war_risk,extra_stop,delay_comp,update_time
"Air India",BOM-DXB,AIC4217,"Boeing 787-8 (twin-jet)",249.3,9777.79,1442.94,2.11,10142.2,4389.06,3,19920,5832,25000,0,0,"2026-04-28 14:08:26"
"British Airways",SIN-LHR,BAW12,"BOEING 777-300ER (twin-jet)",43.5,43796.5,3128.03,12.19,80352.5,27616,13.63,124149,30744,0,0,0,"2026-04-28 14:07:48"
"British Airways",SIN-LHR,BAW16,"Boeing 787-9 Dreamliner (twin-jet)",-20.4,-8519.49,-7437,11.99,57655.5,20397,7.4,49136,12960,0,0,0,"2026-04-28 14:07:57"
Emirates,BKK-DXB,UAE371,"BOEING 777-300ER (twin-jet)",112.5,20856.4,1675.3,5.49,36209.6,13156.7,6.27,57066.1,14832,25000,8000,0,"2026-04-28 14:06:50"
Emirates,BKK-DXB,UAE373,"Airbus A380-800 (quad-jet)",106.3,38910.9,3527.88,5.09,54561.3,16392.1,6.32,93472.2,19920,25000,8000,0,"2026-04-28 14:06:59"
Emirates,BKK-DXB,UAE375,"Airbus A380-800 (quad-jet)",93,37677.8,3287.88,5.09,54561.3,16392.1,6.23,92239.1,19680,25000,0,0,"2026-04-28 14:06:45"
Emirates,BKK-DXB,UAE385,"Airbus A380-800 (quad-jet)",105.5,38417.7,3431.88,5.09,54561.3,16392.1,6.28,92979,19824,25000,8000,0,"2026-04-28 14:06:54"
Emirates,BOM-DXB,UAE501,"Airbus A380-800 (quad-jet)",168.7,21238.5,2544.87,2,21428.2,7487.13,2.88,42666.7,10032,25000,0,0,"2026-04-28 14:08:06"
Emirates,BOM-DXB,UAE503,"Airbus A350-900 (twin-jet)",254.4,8077.61,1052.3,2.14,11146.8,5415.7,2.67,19224.4,6468,25000,8000,0,"2026-04-28 14:08:15"
Emirates,BOM-DXB,UAE505,"BOEING 777-300ER (twin-jet)",171.8,8848.42,813.87,2.16,14220.8,5954.13,2.53,23069.3,6768,25000,0,0,"2026-04-28 14:08:02"
Emirates,BOM-DXB,UAE507,"BOEING 777-300ER (twin-jet)",191.4,12035.6,1569.87,2.16,14220.8,5954.13,2.88,26256.5,7524,25000,0,0,"2026-04-28 14:08:19"
Emirates,BOM-DXB,UAE509,"BOEING 777-300ER (twin-jet)",189.5,11732.1,1497.87,2.16,14220.8,5954.13,2.85,25952.9,7452,25000,0,0,"2026-04-28 14:08:09"
Emirates,HKG-DXB,UAE381,"Airbus A380-800 (quad-jet)",103.7,50537.9,4952.3,6.15,65870.8,19431.7,7.87,116409,24384,25000,8000,0,"2026-04-28 14:07:04"
Emirates,LHR-DXB,UAE2,"Airbus A380-800 (quad-jet)",98.9,48579.8,4919.71,5.71,61169.9,18168.3,7.42,109750,23088,25000,0,0,"2026-04-28 14:06:39"
Emirates,LHR-DXB,UAE30,"Airbus A380-800 (quad-jet)",95.2,46113.5,4439.71,5.71,61169.9,18168.3,7.25,107283,22608,25000,0,0,"2026-04-28 14:06:34"
Emirates,LHR-DXB,UAE4,"Airbus A380-800 (quad-jet)",106.1,46606.7,4535.71,5.71,61169.9,18168.3,7.28,107777,22704,25000,8000,0,"2026-04-28 14:06:29"
Emirates,LHR-DXB,UAE6,"Airbus A380-800 (quad-jet)",93,44633.7,4151.71,5.71,61169.9,18168.3,7.15,105804,22320,25000,0,0,"2026-04-28 14:06:24"
Emirates,LHR-DXB,UAE8,"Airbus A380-800 (quad-jet)",91.9,43893.8,4007.71,5.71,61169.9,18168.3,7.1,105064,22176,25000,0,0,"2026-04-28 14:06:20"
Emirates,MEL-DXB,UAE407,"Airbus A380-800 (quad-jet)",66,72172.1,4440.21,12.09,129570,36551.8,13.63,201742,40992,25000,8000,0,"2026-04-28 14:08:32"
Emirates,SIN-DXB,UAE353,"Airbus A380-800 (quad-jet)",78.9,38787.9,2726.86,6.07,65042.7,19209.1,7.02,103831,21936,25000,0,0,"2026-04-28 14:06:11"
Emirates,SIN-DXB,UAE355,"BOEING 777-300ER (twin-jet)",85.9,23613.8,1700.83,6.55,43165.6,15435.2,7.33,66779.4,17136,25000,0,0,"2026-04-28 14:06:16"
"Qatar Airways",DOH-SIN,A7-BFQ,"Boeing 777-200 (twin-jet)",107.4,29801.9,2602.39,6.86,46159.4,14765,8.17,75961.2,17367.3,25000,8000,0,"2026-04-28 14:07:30"
"Qatar Airways",DOH-SIN,A7-BTC,"Boeing 777-200 (twin-jet)",7.8,-13623.4,-6646.96,6.86,46159.4,14765,3.5,32536,8118,25000,0,0,"2026-04-28 14:07:27"
"Qatar Airways",DOH-SIN,QTR8408,"Boeing 777-200 (twin-jet)",12.4,-11299.4,-6151.96,6.86,46159.4,14765,3.75,34860,8613,25000,0,0,"2026-04-28 14:07:19"
"Qatar Airways",DOH-SIN,QTR8432,"Boeing 777-200 (twin-jet)",-20.4,-34384.4,-11069,6.86,46159.4,14765,1.27,11774.9,3696,25000,8000,0,"2026-04-28 14:07:22"
"Qatar Airways",DOH-SIN,QTR942,"Airbus A350-900 (twin-jet)",109.3,20552.5,1886.74,6.88,35919.1,14811.3,7.83,56471.6,16698,25000,8000,0,"2026-04-28 14:07:13"
"Qatar Airways",DOH-SIN,QTR948,"Airbus A350-900 (twin-jet)",105.1,18870.3,1424.74,6.88,35919.1,14811.3,7.6,54789.5,16236,25000,8000,0,"2026-04-28 14:07:08"
"Singapore Airlines",SIN-LHR,SIA306,"BOEING 777-300ER (twin-jet)",42.9,43341.2,3020.03,12.19,80352.5,27616,13.58,123694,30636,0,0,0,"2026-04-28 14:07:42"
"Singapore Airlines",SIN-LHR,SIA308,"Airbus A380-800 (quad-jet)",53.8,77459.5,6098.97,11.3,121077,34269,13.42,198536,40368,0,0,0,"2026-04-28 14:07:37"
"Singapore Airlines",SIN-LHR,SIA318,"BOEING 777-300ER (twin-jet)",42.9,43341.2,3020.03,12.19,80352.5,27616,13.58,123694,30636,0,0,0,"2026-04-28 14:07:33"
"Singapore Airlines",SIN-LHR,SIA322,"Airbus A380-800 (quad-jet)",55.7,79925.8,6578.97,11.3,121077,34269,13.58,201002,40848,0,0,0,"2026-04-28 14:07:53"
