airline,route,ident,aircraft,fluctuation_pct,extra_fuel,extra_crew,baseline_air_time,baseline_fuel_cost,baseline_crew_cost,actual_air_time,current_fuel_cost,current_crew_cost,war_risk,extra_stop,delay_comp,update_time
"Air India",BOM-DXB,AIC4217,"Boeing 787-8 (twin-jet)",84.3,7177.25,751.91,2.24,10750.8,4594.09,2.7,17928,5346,5000,0,0,"2026-04-28 15:25:34"
"British Airways",SIN-LHR,BAW12,"BOEING 777-300ER (twin-jet)",35.4,38975.4,1548.83,12.92,85173.7,29195.2,13.63,124149,30744,0,0,0,"2026-04-28 15:24:50"
"British Airways",SIN-LHR,BAW16,"Boeing 787-9 Dreamliner (twin-jet)",-24.9,-11978.8,-8602.5,12.71,61114.8,21562.5,7.4,49136,12960,0,0,0,"2026-04-28 15:24:59"
Emirates,BKK-DXB,UAE371,"BOEING 777-300ER (twin-jet)",47.2,18683.8,963.66,5.82,38382.2,13868.3,6.27,57066.1,14832,5000,0,0,"2026-04-28 15:24:07"
Emirates,BKK-DXB,UAE373,"Airbus A380-800 (quad-jet)",58,35883.9,2696.03,5.4,57835,17272,6.33,93718.9,19968,5000,0,0,"2026-04-28 15:24:15"
Emirates,BKK-DXB,UAE375,"Airbus A380-800 (quad-jet)",55.7,34404.1,2408.03,5.4,57835,17272,6.23,92239.1,19680,5000,0,0,"2026-04-28 15:24:01"
Emirates,BKK-DXB,UAE385,"Airbus A380-800 (quad-jet)",-22.4,-14675,-7143.97,5.4,57835,17272,2.92,43160,10128,5000,0,0,"2026-04-28 15:24:11"
Emirates,BOM-DXB,UAE501,"Airbus A380-800 (quad-jet)",88.9,19952.8,2199.32,2.12,22713.9,7832.68,2.88,42666.7,10032,5000,0,0,"2026-04-28 15:25:12"
Emirates,BOM-DXB,UAE503,"Airbus A350-900 (twin-jet)",75.5,7408.8,798.64,2.26,11815.6,5669.36,2.67,19224.4,6468,5000,0,0,"2026-04-28 15:25:22"
Emirates,BOM-DXB,UAE505,"BOEING 777-300ER (twin-jet)",63.5,7995.17,534.39,2.29,15074.1,6233.61,2.53,23069.3,6768,5000,0,0,"2026-04-28 15:25:05"
Emirates,BOM-DXB,UAE507,"BOEING 777-300ER (twin-jet)",82,11182.4,1290.39,2.29,15074.1,6233.61,2.88,26256.5,7524,5000,0,0,"2026-04-28 15:25:28"
Emirates,BOM-DXB,UAE509,"BOEING 777-300ER (twin-jet)",74.1,9816.42,966.39,2.29,15074.1,6233.61,2.73,24890.5,7200,5000,0,0,"2026-04-28 15:25:16"
Emirates,HKG-DXB,UAE381,"Airbus A380-800 (quad-jet)",61.4,46585.7,3890.08,6.52,69823,20493.9,7.87,116409,24384,5000,0,0,"2026-04-28 15:24:20"
Emirates,LHR-DXB,UAE2,"Airbus A380-800 (quad-jet)",65.5,45896.1,4125.29,6.05,64840.1,19154.7,7.48,110736,23280,5000,0,0,"2026-04-28 15:23:57"
Emirates,LHR-DXB,UAE30,"Airbus A380-800 (quad-jet)",60.6,42443.3,3453.29,6.05,64840.1,19154.7,7.25,107283,22608,5000,0,0,"2026-04-28 15:23:50"
Emirates,LHR-DXB,UAE4,"Airbus A380-800 (quad-jet)",61.3,42936.5,3549.29,6.05,64840.1,19154.7,7.28,107777,22704,5000,0,0,"2026-04-28 15:23:46"
